,overall
112825,4
112826,1
112829,4
112830,4
112831,4
112840,1
112841,4
112843,4
112844,3
112846,5
112847,5
112848,5
112852,2
112855,3
112856,5
112857,4
112859,2
112862,3
112863,4
112864,5
112867,5
112870,5
112871,4
112872,5
112873,5
112875,5
112876,5
112877,5
112879,4
112880,5
112883,4
112888,5
112889,5
112890,1
112891,4
112895,2
112896,4
112897,4
112901,5
112906,4
112908,5
112912,5
112913,5
112914,5
112915,5
112917,4
112918,2
112922,5
112923,5
112924,5
112925,5
112926,5
112927,5
112928,5
112931,4
112935,5
112936,5
112937,4
112938,5
112939,5
112940,4
112944,4
112946,5
112953,5
112956,5
112957,5
112958,5
112961,4
112964,5
112965,5
112966,4
112967,5
112968,5
112970,1
112971,1
112972,1
112973,4
112975,5
112976,5
112977,5
112980,4
112981,2
112982,5
112986,5
112987,1
112989,3
112990,5
112991,5
112995,5
112997,5
112998,5
113000,5
113001,1
113003,2
113006,5
113007,5
113009,5
113011,3
113012,2
113014,5
113015,5
113016,5
113017,5
113018,3
113019,5
113020,3
113023,4
113024,5
113025,5
113029,4
113035,5
113040,5
113041,5
113042,5
113045,5
113047,4
113048,1
113049,5
113050,5
113057,5
113061,4
113062,5
113066,3
113070,5
113072,5
113074,5
113075,5
113076,5
113081,2
113082,4
113086,5
113087,5
113088,3
113090,3
113091,5
113093,5
113099,5
113102,4
113104,5
113107,5
113114,5
113116,1
113117,5
113118,5
113120,5
113123,5
113125,5
113126,5
113129,3
113130,5
113133,5
113134,5
113135,2
113139,5
113140,5
113142,5
113145,4
113146,5
113149,5
113150,5
113151,1
113154,4
113155,5
113156,5
113157,5
113158,5
113159,5
113160,5
113165,5
113166,1
113168,4
113172,4
113180,3
113181,4
113182,5
113186,4
113188,5
113189,5
113192,4
113193,5
113194,4
113197,5
113199,5
113204,5
113205,3
113206,1
113207,5
113213,5
113214,4
113215,5
113216,4
113217,3
113219,3
113221,4
113224,5
113225,5
113227,5
113228,1
113229,4
113230,3
113231,5
113232,5
113233,5
113234,4
113235,4
113236,5
113237,4
113238,3
113239,5
113240,4
113242,5
113243,5
113244,5
113245,5
113246,5
113248,5
113249,1
113255,4
113256,5
113257,5
113258,5
113259,5
113262,4
113263,5
113264,4
113265,5
113266,5
113267,4
113269,5
113270,5
113271,5
113273,5
113275,5
113276,5
113277,5
113278,4
113279,5
113280,4
113281,5
113282,1
113283,5
113284,3
113285,5
113286,5
113287,4
113288,5
113289,5
113290,4
113291,5
113292,5
113293,5
113294,5
113297,5
113298,5
113299,5
113300,4
113301,5
113303,4
113304,5
113305,4
113307,2
113309,4
113310,4
113311,5
113313,5
113314,5
113315,4
113316,1
113317,5
113318,4
113320,3
113324,5
113325,4
113326,1
113327,1
113328,5
113329,5
113330,3
113331,5
113332,4
113333,3
113334,3
113335,4
113336,5
113337,4
113338,5
113341,5
113344,5
113345,4
113346,5
113347,5
113350,3
113351,2
113352,4
113353,5
113354,5
113355,5
113356,5
113357,5
113359,5
113360,4
113361,5
113362,4
113363,1
113364,4
113366,5
113367,5
113369,4
113370,4
113372,5
113373,4
113374,5
113375,5
113376,5
113377,4
113378,5
113379,5
113381,4
113384,2
113386,4
113387,4
113388,5
113389,5
113390,3
113391,5
113392,5
113393,5
113394,5
113397,5
113398,5
113399,5
113400,4
113401,4
113402,4
113403,3
113404,5
113406,5
113407,3
113409,5
113410,5
113411,5
113412,5
113414,4
113422,1
113423,4
113425,5
113426,5
113427,5
113428,5
113429,5
113430,5
113431,5
113432,5
113433,4
113434,5
113435,5
113436,5
113437,5
113439,5
113440,4
113441,5
113442,5
113444,5
113445,5
113446,5
113447,5
113448,4
113449,4
113451,5
113452,5
113453,5
113454,5
113458,5
113462,5
113465,3
113471,4
113472,5
113473,5
113474,5
113475,5
113476,5
113477,5
113478,4
113479,5
113482,4
113487,5
113488,5
113490,5
113492,5
113494,2
113495,5
113497,5
113499,5
113500,5
113501,5
113504,5
113505,5
113506,5
113507,5
113510,5
113511,5
113513,3
113514,5
113515,5
113516,3
113517,5
113518,4
113519,4
113520,4
113521,5
113522,5
113523,5
113524,5
113528,5
113529,5
113530,5
113533,5
113534,4
113535,4
113536,5
113537,4
113540,4
113545,4
113548,5
113550,4
113551,5
113552,5
113553,5
113554,5
113555,5
113557,5
113559,2
113560,4
113562,5
113563,4
113564,4
113565,4
113566,5
113567,5
113569,5
113570,4
113575,3
113577,4
113578,5
113579,4
113580,5
113584,5
113586,5
113587,5
113588,5
113591,5
113592,4
113594,5
113599,5
113601,2
113602,5
113604,5
113611,1
113614,5
113622,2
113626,5
113627,4
113639,4
113640,5
113642,2
113644,4
113645,5
113647,2
113650,4
113652,3
113655,4
113656,4
113657,5
113661,3
113663,4
113669,3
113673,5
113675,4
113676,5
113677,2
113678,1
113679,5
113684,2
113687,5
113690,5
113693,1
113695,3
113697,5
113700,4
113701,5
113702,3
113703,5
113704,5
113705,5
113706,4
113707,4
113708,5
113709,3
113710,5
113711,5
113712,1
113713,5
113714,5
113717,4
113718,5
113719,5
113720,4
113721,5
113722,5
113726,4
113727,5
113728,3
113729,4
113730,5
113734,3
113735,5
113736,3
113737,5
113743,5
113744,5
113745,5
113746,4
113749,4
113750,1
113751,5
113752,5
113753,5
113755,5
113756,5
113757,5
113760,5
113761,5
113764,1
113765,2
113767,5
113768,3
113769,5
113770,5
113775,5
113777,4
113779,5
113782,5
113783,5
113784,4
113785,5
113789,4
113790,4
113791,5
113793,5
113794,4
113795,5
113796,5
113799,4
113800,5
113802,5
113803,5
113804,5
113806,4
113807,4
113809,5
113810,5
113811,5
113812,5
113814,5
113815,3
113816,4
113819,4
113820,5
113821,5
113823,5
113828,5
113829,5
113830,5
113834,5
113836,5
113840,5
113842,5
113844,5
113847,5
113853,1
113856,4
113857,5
113860,5
113862,4
113863,5
113865,4
113866,5
113868,4
113869,3
113870,5
113874,3
113878,4
113879,5
113881,2
113882,5
113883,5
113887,4
113888,1
113891,5
113894,5
113895,5
113896,4
113897,3
113898,5
113899,5
113903,5
113904,5
113906,1
113910,4
113914,5
113915,5
113916,4
113919,3
113920,5
113922,5
113924,5
113926,3
113927,4
113929,4
113930,4
113931,5
113932,5
113933,5
113934,4
113935,3
113936,5
113937,5
113938,5
113939,5
113940,4
113941,3
113942,5
113943,5
113944,5
113945,3
113946,5
113947,5
113948,4
113949,5
113952,4
113953,5
113954,3
113955,5
113956,5
113957,2
113958,5
113959,5
113964,5
113966,2
113969,5
113971,1
113972,2
113973,5
113975,5
113976,1
113977,4
113983,5
113984,5
113986,5
113987,4
113988,5
113990,4
113991,5
113993,4
113994,4
113995,5
113996,4
113997,4
113998,5
113999,5
114000,5
114001,5
114002,3
114006,5
114007,5
114011,5
114012,4
114015,5
114016,5
114019,5
114021,4
114022,4
114023,5
114024,4
114025,3
114026,5
114027,5
114028,5
114029,5
114030,4
114031,3
114032,5
114035,5
114036,5
114037,3
114038,5
114039,5
114040,4
114042,2
114046,5
114047,5
114048,5
114052,5
114058,5
114059,5
114060,4
114063,5
114064,5
114065,5
114066,4
114067,3
114068,5
114070,4
114072,4
114073,5
114074,5
114076,2
114077,5
114078,5
114080,4
114083,5
114087,5
114089,5
114090,4
114092,5
114102,4
114105,3
114106,5
114107,5
114108,5
114110,5
114111,5
114112,5
114113,5
114116,5
114117,5
114120,4
114121,4
114125,5
114126,5
114127,5
114136,5
114138,5
114140,5
114144,5
114145,5
114146,5
114147,5
114148,5
114149,5
114152,5
114155,5
114159,3
114161,3
114163,5
114164,5
114165,1
114168,5
114172,5
114173,5
114180,5
114181,5
114183,5
114184,5
114188,4
114190,3
114191,2
114194,5
114195,1
114196,5
114198,5
114199,3
114200,4
114209,4
114215,2
114216,4
114225,5
114226,3
114230,4
114232,3
114233,5
114234,5
114236,4
114238,3
114240,4
114241,4
114243,3
114248,5
114250,5
114251,3
114252,4
114253,5
114254,4
114256,4
114257,3
114258,5
114260,5
114261,4
114262,5
114263,5
114264,4
114265,4
114266,5
114268,5
114269,5
114270,5
114271,5
114273,1
114274,4
114275,5
114276,5
114282,2
114288,5
114289,5
114290,5
114291,4
114292,4
114293,5
114294,5
114295,5
114296,4
114298,4
114299,1
114300,5
114305,2
114308,2
114311,5
114319,5
114322,5
114323,4
114329,5
114330,5
114339,3
114343,5
114345,4
114347,3
114349,5
114357,3
114358,5
114359,4
114362,5
114363,5
114372,4
114373,4
114374,5
114375,5
114376,5
114379,4
114380,5
114382,3
114386,3
114392,5
114399,3
114400,4
114409,3
114410,5
114413,5
114416,4
114419,4
114425,4
114426,3
114428,5
114429,5
114431,1
114435,5
114441,3
114444,5
114445,4
114447,5
114448,5
114451,3
114456,4
114465,5
114475,5
114477,5
114478,5
114479,5
114480,2
114482,3
114483,2
114484,5
114486,1
114492,4
114495,4
114497,4
114499,4
114501,5
114503,5
114504,3
114505,3
114506,4
114507,5
114509,5
114516,5
114517,5
114518,4
114520,4
114522,5
114525,5
114527,5
114528,3
114530,5
114531,5
114535,4
114536,4
114537,5
114539,5
114540,5
114541,5
114542,5
114544,4
114545,5
114546,4
114547,5
114548,5
114549,5
114550,4
114551,4
114552,3
114554,3
114555,5
114556,4
114559,5
114561,3
114563,5
114564,5
114566,5
114572,4
114573,4
114575,5
114577,5
114578,5
114579,5
114580,5
114581,5
114582,4
114583,4
114584,5
114585,4
114586,4
114587,4
114588,5
114589,5
114590,5
114593,5
114594,5
114595,5
114602,4
114608,5
114611,5
114613,5
114614,5
114617,5
114618,5
114620,5
114621,4
114622,5
114623,4
114624,3
114627,5
114628,5
114629,5
114631,5
114632,5
114633,5
114634,5
114635,5
114636,5
114637,5
114638,5
114640,5
114643,5
114644,2
114645,4
114646,5
114647,5
114648,5
114649,3
114651,5
114652,5
114655,5
114656,5
114658,5
114660,5
114661,5
114664,4
114665,5
114667,5
114668,5
114670,5
114671,4
114683,5
114684,4
114686,1
114687,2
114688,5
114690,4
114692,5
114694,5
114696,1
114697,4
114707,5
114716,4
114723,5
114727,5
114728,4
114729,5
114730,4
114733,5
114734,3
114735,4
114738,5
114739,2
114744,5
114747,4
114748,2
114749,5
114750,5
114751,5
114752,5
114753,4
114754,3
114756,5
114757,5
114758,4
114759,5
114763,2
114764,5
114765,3
114767,2
114772,5
114773,5
114777,4
114783,4
114784,4
114785,5
114788,2
114789,5
114790,1
114791,5
114793,4
114794,5
114795,4
114797,5
114798,5
114799,5
114800,5
114801,4
114802,5
114805,3
114806,5
114807,4
114815,3
114816,2
114817,4
114822,5
114823,5
114824,4
114826,2
114827,5
114828,3
114829,5
114830,5
114831,5
114833,5
114834,4
114837,5
114839,5
114840,4
114841,4
114842,4
114843,3
114844,4
114845,5
114847,5
114848,5
114849,4
114853,5
114854,5
114855,4
114861,5
114876,2
114880,4
114888,5
114891,5
114892,5
114896,4
114898,5
114899,5
114901,4
114902,5
114906,5
114907,4
114908,5
114911,5
114913,2
114915,5
114918,4
114919,4
114921,5
114922,5
114923,4
114924,5
114925,5
114927,1
114929,5
114930,5
114931,5
114932,5
114933,5
114934,2
114935,5
114936,5
114939,4
114940,1
114941,5
114942,5
114946,5
114947,5
114948,5
114950,4
114951,4
114953,1
114955,5
114956,5
114957,4
114958,5
114961,3
114962,5
114963,5
114965,5
114968,5
114969,5
114970,2
114971,5
114972,5
114976,3
114977,1
114978,5
114979,5
114980,5
114982,4
114983,5
114984,5
114985,5
114986,4
114987,4
114988,5
114989,5
114990,5
114992,4
114993,5
114995,4
114996,5
114997,5
114998,5
114999,3
115000,4
115002,4
115003,5
115004,5
115005,4
115007,4
115009,5
115014,5
115020,5
115021,5
115022,5
115023,3
115025,4
115029,5
115030,4
115032,2
115034,4
115036,5
115039,4
115040,5
115041,5
115050,5
115053,5
115055,5
115056,5
115060,5
115063,5
115065,4
115067,5
115069,5
115072,5
115073,3
115078,5
115079,5
115080,5
115081,5
115082,5
115090,5
115091,5
115092,5
115093,5
115097,5
115098,5
115103,5
115104,4
115107,5
115108,5
115109,5
115110,5
115113,5
115115,5
115116,5
115117,4
115118,5
115119,5
115120,5
115122,5
115123,5
115125,5
115127,4
115128,4
115129,5
115130,4
115132,5
115134,4
115137,5
115138,5
115139,4
115140,5
115143,1
115145,5
115146,5
115147,5
115148,5
115151,5
115152,5
115153,4
115154,5
115157,5
115164,5
115165,5
115166,5
115167,5
115168,5
115169,1
115170,5
115172,5
115174,5
115175,5
115176,4
115177,5
115180,5
115181,5
115187,5
115189,5
115192,4
115194,5
115196,5
115197,5
115198,5
115203,5
115209,5
115210,5
115211,5
115215,5
115222,5
115223,4
115224,4
115226,5
115227,5
115228,5
115230,5
115234,5
115239,5
115241,5
115246,1
115249,5
115256,4
115262,5
115275,5
115276,5
115286,2
115288,4
115291,5
115292,5
115302,5
115305,5
115307,5
115309,4
115310,3
115315,5
115318,5
115320,3
115321,5
115322,4
115323,5
115325,5
115327,5
115333,5
115334,5
115336,5
115340,2
115342,1
115343,5
115344,5
115347,4
115348,3
115353,5
115354,4
115361,2
115371,1
115372,5
115376,1
115382,5
115386,5
115391,5
115392,4
115393,5
115397,4
115400,5
115405,4
115410,5
115412,5
115415,5
115416,5
115417,5
115419,5
115422,5
115424,3
115428,5
115433,5
115438,5
115439,5
115444,4
115445,5
115447,5
115449,5
115453,5
115457,4
115471,4
115473,5
115475,5
115478,5
115480,4
115483,5
115484,5
115486,4
115487,3
115488,3
115489,5
115492,3
115493,5
115494,4
115496,5
115497,5
115498,5
115500,5
115501,5
115502,5
115503,4
115504,5
115505,4
115506,5
115509,5
115510,5
115511,5
115512,3
115513,5
115517,5
115520,4
115521,4
115522,5
115524,4
115527,5
115532,5
115533,5
115536,5
115537,4
115538,4
115539,4
115540,4
115541,4
115542,4
115543,5
115545,5
115547,5
115548,5
115551,5
115553,5
115554,5
115556,5
115558,5
115559,5
115562,5
115563,4
115564,5
115567,5
115569,4
115570,5
115571,3
115574,4
115577,5
115582,4
115583,5
115584,5
115588,3
115594,5
115597,5
115598,5
115603,4
115610,5
115612,2
115613,5
115615,2
115616,5
115617,5
115620,5
115622,3
115623,5
115624,5
115625,5
115626,3
115629,5
115632,5
115633,4
115634,3
115635,5
115638,5
115639,5
115640,4
115641,5
115644,5
115646,5
115647,5
115652,5
115654,5
115655,5
115657,2
115660,5
115663,4
115665,4
115666,5
115667,4
115668,5
115669,5
115671,1
115673,5
115674,5
115679,2
115680,5
115684,5
115691,5
115692,4
115693,5
115699,5
115701,5
115703,5
115704,4
115705,5
115706,5
115709,1
115714,5
115718,3
115719,5
115720,5
115721,5
115723,5
115724,5
115726,5
115727,5
115731,1
115733,5
115734,4
115735,1
115736,4
115738,5
115739,3
115740,4
115741,5
115743,1
115746,5
115747,1
115748,5
115749,5
115750,4
115753,5
115754,5
115755,5
115756,5
115757,5
115758,5
115759,5
115760,4
115762,5
115763,5
115765,4
115768,4
115769,5
115770,4
115771,4
115772,5
115775,5
115776,5
115777,5
115778,5
115779,5
115780,3
115781,5
115782,5
115783,5
115784,5
115785,5
115788,5
115791,5
115792,5
115793,4
115794,5
115797,5
115799,5
115800,5
115801,5
115802,5
115803,5
115804,5
115807,5
115810,4
115812,3
115813,2
115814,5
115816,4
115817,4
115819,5
115820,4
115821,3
115822,2
115823,5
115824,3
115825,4
115826,5
115827,5
115828,5
115829,5
115830,5
115831,1
115835,1
115836,5
115848,5
115850,5
115851,5
115854,5
115855,1
115856,5
115857,5
115858,3
115859,5
115860,5
115861,5
115867,5
115869,4
115872,5
115875,4
115877,5
115878,4
115879,5
115880,4
115881,5
115882,5
115883,5
115885,5
115886,5
115887,5
115888,5
115890,5
115891,5
115893,4
115894,4
115895,1
115896,4
115897,5
115898,3
115899,4
115900,3
115901,5
115902,5
115903,5
115904,5
115906,5
115908,5
115913,4
115914,4
115917,4
115919,5
115922,5
115924,5
115926,5
115927,5
115928,5
115931,5
115934,3
115938,5
115939,4
115940,5
115943,5
115946,5
115948,5
115950,5
115951,5
115956,4
115958,4
115960,5
115961,5
115962,4
115964,5
115965,4
115966,5
115967,5
115968,5
115971,4
115973,5
115974,5
115975,5
115981,5
115983,4
115984,5
115986,4
115988,1
115991,4
115993,5
115994,5
115995,5
115996,5
115998,5
115999,5
116001,5
116005,4
116006,5
116007,5
116008,5
116009,5
116011,5
116013,5
116014,5
116017,5
116021,5
116022,5
116024,1
116025,5
116026,5
116031,5
116033,5
116036,5
116037,5
116040,5
116046,5
116048,5
116052,5
116054,5
116059,5
116062,4
116064,4
116066,4
116071,5
116073,5
116075,5
116076,5
116077,5
116079,5
116082,2
116084,5
116085,4
116086,5
116087,5
116088,5
116091,5
116094,4
116101,5
116103,5
116104,5
116105,5
116107,5
116108,5
116109,5
116110,5
116111,5
116113,5
116114,5
116115,5
116116,4
116117,5
116118,5
116119,5
116121,5
116122,5
116123,5
116124,5
116125,5
116128,4
116130,3
116131,5
116132,5
116133,5
116134,5
116135,4
116137,5
116138,3
116140,5
116141,2
116145,4
116146,3
116147,5
116148,5
116151,4
116153,1
116154,5
116155,2
116156,5
116157,5
116158,2
116159,5
116162,5
116164,1
116167,4
116169,5
116170,5
116172,4
116173,5
116174,4
116175,4
116177,4
116178,5
116180,5
116181,4
116182,5
116184,4
116185,5
116186,4
116188,4
116189,5
116192,4
116193,5
116195,3
116197,3
116201,5
116205,5
116206,4
116207,1
116209,4
116210,5
116211,3
116212,5
116214,3
116215,1
116216,5
116217,4
116218,4
116220,5
116223,5
116226,5
116227,5
116231,5
116233,4
116234,5
116236,3
116237,5
116239,3
116241,5
116242,2
116244,5
116245,5
116246,5
116248,3
116249,2
116250,5
116251,5
116252,4
116253,4
116257,5
116258,5
116262,4
116263,5
116265,4
116266,2
116269,5
116270,5
116273,5
116276,5
116278,5
116281,4
116285,5
116286,4
116288,5
116291,5
116296,5
116297,5
116298,5
116299,4
116303,3
116305,5
116306,5
116308,5
116310,5
116311,1
116313,5
116314,5
116315,2
116316,4
116322,5
116323,4
116324,5
116326,5
116327,5
116328,4
116330,5
116333,5
116334,4
116335,2
116336,5
116337,4
116341,5
116342,5
116344,3
116345,5
116346,4
116347,5
116349,5
116352,5
116355,5
116359,5
116360,5
116363,5
116364,5
116367,5
116368,5
116369,4
116371,1
116372,4
116374,4
116377,4
116378,5
116381,4
116382,4
116383,5
116387,5
116389,4
116390,4
116391,5
116393,4
116394,4
116397,4
116399,2
116400,5
116402,4
116403,4
116408,1
116409,4
116410,2
116412,5
116413,5
116414,5
116415,4
116416,3
116417,5
116418,3
116419,5
116420,5
116424,5
116426,5
116432,5
116433,5
116440,4
116443,5
116445,4
116446,5
116447,5
116450,5
116453,5
116456,5
116460,5
116461,5
116462,4
116474,1
116475,5
116477,4
116478,5
116480,5
116481,4
116483,5
116484,4
116487,5
116490,5
116498,2
116499,5
116506,5
116507,5
116509,5
116515,5
116520,5
116521,5
116522,4
116524,4
116525,5
116526,4
116527,5
116528,5
116529,5
116530,5
116531,5
116532,5
116533,3
116534,5
116535,5
116536,1
116538,5
116539,5
116541,5
116543,4
116544,5
116545,5
116546,5
116547,5
116549,5
116552,5
116554,5
116555,5
116556,5
116557,5
116558,5
116559,3
116561,4
116563,5
116564,5
116568,5
116570,5
116572,5
116575,3
116576,5
116577,4
116578,5
116580,5
116581,5
116582,5
116586,5
116587,5
116589,5
116590,4
116592,5
116593,5
116594,5
116596,5
116598,5
116599,4
116600,5
116602,4
116603,5
116608,5
116610,5
116611,4
116612,5
116614,5
116616,3
116617,5
116619,5
116620,1
116622,5
116623,4
116624,1
116625,5
116626,1
116627,5
116628,4
116636,5
116638,5
116639,4
116642,1
116647,5
116649,3
116650,4
116651,4
116653,5
116654,2
116655,4
116659,4
116660,4
116662,5
116663,4
116664,4
116665,1
116666,5
116668,3
116671,2
116672,5
116676,4
116677,5
116679,3
116680,5
116681,4
116682,3
116683,5
116688,3
116689,4
116690,3
116691,5
116692,4
116693,1
116694,5
116695,4
116700,5
116701,5
116702,4
116703,5
116704,3
116705,5
116710,5
116711,5
116712,5
116713,5
116718,2
116723,5
116729,5
116736,4
116737,5
116739,2
116741,5
116747,5
116750,5
116752,5
116753,1
116754,5
116755,5
116758,5
116761,5
116766,4
116769,4
116771,5
116774,5
116775,5
116777,5
116778,4
116779,4
116781,5
116782,3
116783,5
116784,5
116785,5
116792,5
116793,5
116794,5
116795,4
116796,5
116797,4
116798,3
116799,4
116803,4
116804,5
116807,5
116808,5
116809,5
116810,5
116811,5
116812,5
116818,5
116820,4
116821,3
116822,5
116824,1
116826,1
116827,5
116828,5
116829,4
116831,4
116832,2
116833,4
116834,2
116835,5
116836,5
116837,5
116838,1
116839,3
116841,5
116842,5
116843,5
116845,5
116846,4
116847,2
116848,4
116853,1
116855,4
116856,5
116857,5
116859,5
116860,5
116865,3
116867,4
116868,4
116869,5
116872,2
116873,2
116874,3
116875,1
116876,4
116877,5
116879,5
116880,5
116882,5
116885,5
116886,5
116888,5
116894,4
116903,5
116905,5
116906,4
116907,5
116909,5
116913,5
116915,5
116922,5
116923,5
116924,5
116925,5
116926,5
116928,5
116929,5
116930,5
116931,5
116932,5
116933,3
116937,5
116938,3
116939,4
116940,5
116941,4
116942,5
116943,5
116944,5
116945,5
116946,5
116948,3
116952,5
116953,5
116954,5
116955,5
116956,5
116958,5
116959,4
116961,3
116962,4
116964,3
116966,4
116970,1
116972,5
116976,5
116980,5
116983,4
116984,5
116988,4
116989,5
116990,5
116992,5
116994,5
116995,2
116996,5
116997,5
116998,2
116999,5
117003,5
117005,5
117006,5
117008,3
117010,3
117011,4
117012,5
117013,5
117015,2
117018,5
117020,1
117021,5
117022,5
117023,5
117024,5
117025,4
117029,5
117033,4
117035,5
117037,5
117038,4
117040,5
117042,5
117043,5
117044,5
117046,4
117047,5
117049,5
117051,5
117052,3
117054,5
117055,3
117056,4
117057,5
117058,5
117060,5
117061,2
117062,5
117063,5
117064,5
117066,3
117067,5
117071,5
117072,4
117075,5
117076,4
117077,4
117078,4
117088,5
117089,5
117092,5
117094,5
117096,5
117097,5
117098,5
117099,5
117100,2
117101,4
117102,4
117103,4
117104,4
117108,5
117109,5
117110,5
117111,5
117112,5
117113,5
117115,1
117117,5
117125,5
117126,5
117127,5
117129,5
117130,5
117131,5
117134,3
117137,5
117138,3
117141,5
117142,4
117143,5
117145,5
117146,4
117147,1
117148,5
117149,5
117150,1
117151,2
117152,5
117154,3
117155,5
117157,5
117159,2
117160,5
117161,5
117162,5
117167,5
117172,5
117173,5
117174,4
117175,5
117176,5
117177,5
117178,5
117179,5
117180,4
117181,5
117182,5
117184,5
117185,5
117187,5
117188,5
117189,5
117191,5
117192,5
117193,5
117196,1
117197,5
117199,5
117200,5
117203,5
117204,5
117206,5
117207,5
117209,4
117210,5
117215,1
117216,5
117217,5
117227,3
117228,4
117231,3
117232,5
117233,5
117234,5
117235,5
117236,2
117239,5
117240,1
117241,5
117252,4
117257,5
117263,5
117264,3
117266,5
117268,5
117269,4
117271,5
117273,5
117275,5
117277,5
117284,5
117285,5
117287,5
117289,3
117291,5
117294,4
117297,5
117298,5
117299,4
117300,5
117301,5
117302,4
117306,5
117308,5
117312,3
117313,5
117315,5
117316,5
117317,5
117320,5
117326,5
117328,5
117331,5
117335,5
117336,4
117346,5
117348,5
117349,5
117351,4
117353,5
117354,4
117355,5
117358,1
117359,3
117361,5
117362,4
117364,5
117365,5
117366,5
117368,1
117369,4
117371,4
117372,5
117373,1
117375,5
117376,5
117378,2
117379,1
117380,3
117381,5
117383,5
117384,4
117385,5
117386,5
117387,4
117388,5
117389,5
117391,3
117392,4
117393,5
117394,3
117395,5
117397,5
117400,4
117403,3
117406,5
117407,3
117408,5
117413,3
117415,5
117421,5
117424,3
117425,1
117426,4
117427,5
117428,5
117430,5
117431,1
117432,5
117434,2
117436,5
117443,5
117445,1
117457,1
117458,2
117467,1
117468,1
117471,5
117473,5
117474,2
117477,4
117478,5
117479,4
117481,3
117482,4
117483,5
117487,4
117488,5
117490,3
117492,3
117493,5
117494,5
117496,4
117497,5
117498,5
117499,4
117501,3
117502,3
117504,4
117505,4
117506,4
117512,5
117514,5
117518,5
117519,5
117520,5
117521,5
117522,2
117523,5
117524,5
117525,5
117526,5
117527,5
117533,5
117535,1
117536,2
117537,5
117538,4
117540,4
117541,5
117542,2
117544,4
117547,5
117551,5
117555,5
117556,1
117560,5
117561,5
117562,5
117563,5
117565,2
117566,4
117570,2
117571,5
117572,5
117574,5
117575,5
117576,5
117577,5
117580,5
117581,5
117584,5
117586,5
117587,4
117588,5
117589,5
117590,5
117596,5
117600,4
117603,5
117606,5
117607,5
117609,1
117613,5
117614,5
117615,5
117616,4
117617,5
117618,5
117619,5
117625,5
117627,5
117629,5
117631,5
117634,5
117635,5
117639,4
117640,5
117642,5
117643,3
117644,5
117645,5
117646,5
117647,5
117648,4
117649,5
117650,5
117651,5
117653,5
117654,5
117655,5
117656,5
117657,5
117658,4
117659,5
117660,5
117662,5
117663,3
117664,5
117665,5
117667,5
117668,5
117670,1
117672,5
117673,2
117674,1
117675,5
117676,5
117680,5
117681,4
117682,5
117683,5
117686,5
117687,4
117688,5
117691,4
117693,5
117700,5
117705,5
117716,3
117717,5
117726,4
117727,5
117728,5
117730,5
117731,5
117738,4
117739,3
117740,5
117741,5
117742,5
117743,5
117744,5
117745,5
117746,5
117747,5
117748,5
117749,5
117750,5
117752,5
117754,2
117759,5
117761,5
117765,5
117769,5
117770,5
117772,4
117774,4
117775,4
117776,5
117777,5
117778,5
117779,5
117780,4
117781,3
117782,3
117784,5
117786,3
117787,4
117788,4
117789,5
117790,3
117791,5
117793,1
117794,4
117795,5
117796,3
117797,1
117799,4
117800,5
117801,5
117802,4
117803,3
117804,5
117805,5
117806,3
117807,5
117808,2
117810,4
117811,3
117812,2
117813,5
117814,3
117815,1
117816,5
117819,5
117820,4
117821,4
117823,4
117838,4
117840,1
117843,5
117845,5
117847,5
117850,5
117852,5
117854,2
117855,3
117856,5
117857,1
117859,5
117860,2
117861,1
117862,1
117863,3
117864,5
117866,5
117867,2
117869,3
117870,2
117871,5
117872,4
117874,5
117875,4
117878,4
117884,5
117890,5
117894,5
117897,5
117898,5
117899,5
117903,5
117904,5
117906,5
117909,5
117914,5
117918,5
117920,4
117921,5
117924,2
117925,5
117926,4
117928,5
117929,4
117930,5
117931,5
117932,5
117934,3
117936,5
117937,4
117939,4
117940,4
117941,5
117942,1
117943,4
117944,5
117945,4
117947,4
117949,4
117951,5
117953,4
117954,5
117960,5
117962,5
117969,5
117971,5
117972,5
117974,5
117975,5
117976,5
117977,5
117978,5
117979,5
117981,5
117983,5
117984,4
117986,5
117987,5
117988,5
117990,3
117995,3
117996,5
117997,5
117998,5
117999,5
118000,4
118004,5
118006,5
118008,5
118013,4
118014,3
118020,5
118021,5
118022,5
118023,5
118024,4
118025,2
118026,2
118028,5
118035,5
118037,4
118038,5
118039,5
118040,5
118041,1
118042,5
118043,1
118044,4
118045,1
118046,5
118049,4
118050,4
118051,2
118052,5
118054,5
118055,5
118058,5
118063,5
118065,5
118066,2
118067,5
118069,3
118070,4
118071,5
118072,5
118073,5
118074,1
118075,4
118076,5
118077,5
118078,2
118080,3
118081,5
118082,5
118083,5
118084,5
118085,5
118095,5
118096,5
118097,5
118098,5
118099,5
118100,2
118101,5
118102,5
118103,5
118104,5
118105,2
118106,5
118107,5
118110,4
118111,5
118115,5
118116,5
118117,4
118118,1
118119,4
118120,3
118122,5
118123,4
118125,5
118126,5
118127,5
118128,5
118129,5
118131,3
118132,5
118134,5
118135,5
118138,5
118139,5
118140,5
118141,3
118142,5
118143,2
118146,4
118147,5
118148,1
118150,5
118153,5
118154,5
118155,5
118156,5
118157,5
118159,5
118161,2
118162,5
118164,5
118165,5
118167,5
118169,5
118170,5
118172,5
118173,4
118174,5
118175,5
118176,1
